Time,Close,Open,High,Low,,
Nov 99,"2,657.75","2,586.58","2,784.27","2,575.52",-,4.05%
Oct 99,"2,554.39","2,693.79","2,693.79","2,475.78",-,-5.16%
Sep 99,"2,693.28","2,552.66","2,720.00","2,510.73",-,5.30%
Aug 99,"2,557.63","2,419.05","2,557.63","2,415.36",-,7.04%
Jul 99,"2,389.45","2,296.96","2,409.35","2,283.19",-,3.59%
Jun 99,"2,306.70","2,136.70","2,306.70","2,136.70",-,6.43%
May 99,"2,167.31","2,302.59","2,314.61","2,165.51",-,-5.46%
Apr 99,"2,292.40","2,186.30","2,292.40","2,133.23",-,4.13%
Mar 99,"2,201.42","1,888.23","2,206.30","1,888.23",-,16.89%
Feb 99,"1,883.29","1,948.96","1,955.81","1,869.31",-,-4.61%
Jan 99,"1,974.23","1,992.33","2,067.35","1,928.25",-,0.44%
Dec 98,"1,965.65","1,995.12","2,020.06","1,902.20",-,-1.72%
Nov 98,"2,000.07","2,274.36","2,274.36","2,000.07",-,-12.17%
Oct 98,"2,277.14","2,343.00","2,367.24","2,250.43",-,-4.69%
Sep 98,"2,389.22","2,205.84","2,389.22","2,197.35",-,10.22%
Aug 98,"2,167.67","2,266.38","2,306.79","2,167.67",-,-5.90%
Jul 98,"2,303.62","2,496.61","2,496.61","2,303.62",-,-7.86%
Jun 98,"2,500.16","2,574.14","2,574.14","2,402.62",-,-3.55%
May 98,"2,592.06","2,764.26","2,764.26","2,561.86",-,-4.72%
Apr 98,"2,720.40","2,775.47","2,804.91","2,719.70",-,-2.73%
Mar 98,"2,796.66","2,809.94","2,864.69","2,646.60",-,-0.52%
Feb 98,"2,811.26","3,007.59","3,007.59","2,782.39",-,-6.60%
Jan 98,"3,009.87","3,019.39","3,054.38","2,897.29",-,-1.61%
Dec 97,"3,059.17","3,294.24","3,294.24","3,059.17",-,-6.76%
Nov 97,"3,280.88","3,597.18","3,597.18","3,280.88",-,-9.86%
Oct 97,"3,639.73","3,537.38","3,695.48","3,526.51",-,2.75%
Sep 97,"3,542.28","3,487.70","3,576.66","3,404.93",-,2.53%
Aug 97,"3,454.89","3,409.33","3,471.71","3,367.90",-,2.53%
Jul 97,"3,369.67","3,244.68","3,369.67","3,169.98",-,4.10%
Jun 97,"3,237.05","3,391.47","3,391.47","3,189.24",-,-5.41%
May 97,"3,422.19","3,398.76","3,511.74","3,352.49",-,0.72%
Apr 97,"3,397.89","3,303.10","3,397.89","3,221.51",-,2.31%
Mar 97,"3,321.06","3,267.61","3,382.76","3,267.61",-,1.69%
